Token: 6 ||| Lexema: coal ||| Linea: 1 ||| Columna: 1
Token: 5 ||| Lexema: navidad ||| Linea: 1 ||| Columna: 6
Token: 27 ||| Lexema: ¿ ||| Linea: 1 ||| Columna: 14
Token: 28 ||| Lexema: ? ||| Linea: 1 ||| Columna: 17
Token: 25 ||| Lexema: ¡ ||| Linea: 1 ||| Columna: 20
Token: 13 ||| Lexema: for ||| Linea: 2 ||| Columna: 5
Token: 27 ||| Lexema: ¿ ||| Linea: 2 ||| Columna: 9
Token: 20 ||| Lexema: int ||| Linea: 2 ||| Columna: 11
Token: 53 ||| Lexema: i ||| Linea: 2 ||| Columna: 15
Token: 43 ||| Lexema: = ||| Linea: 2 ||| Columna: 16
Token: 56 ||| Lexema: 0 ||| Linea: 2 ||| Columna: 17
Token: 19 ||| Lexema: endl ||| Linea: 2 ||| Columna: 20
Token: 53 ||| Lexema: i ||| Linea: 2 ||| Columna: 26
Token: 46 ||| Lexema: < ||| Linea: 2 ||| Columna: 27
Token: 56 ||| Lexema: 5 ||| Linea: 2 ||| Columna: 28
Token: 19 ||| Lexema: endl ||| Linea: 2 ||| Columna: 31
Token: 41 ||| Lexema: ++ ||| Linea: 2 ||| Columna: 37
Token: 53 ||| Lexema: i ||| Linea: 2 ||| Columna: 39
Token: 28 ||| Lexema: ? ||| Linea: 2 ||| Columna: 41
Token: 25 ||| Lexema: ¡ ||| Linea: 2 ||| Columna: 43
Token: 14 ||| Lexema: show ||| Linea: 3 ||| Columna: 9
Token: 27 ||| Lexema: ¿ ||| Linea: 3 ||| Columna: 14
Token: 53 ||| Lexema: i ||| Linea: 3 ||| Columna: 16
Token: 28 ||| Lexema: ? ||| Linea: 3 ||| Columna: 18
Token: 19 ||| Lexema: endl ||| Linea: 3 ||| Columna: 20
Token: 26 ||| Lexema: ! ||| Linea: 4 ||| Columna: 5
Token: 3 ||| Lexema: local ||| Linea: 5 ||| Columna: 4
Token: 20 ||| Lexema: int ||| Linea: 5 ||| Columna: 10
Token: 53 ||| Lexema: _arr_ ||| Linea: 5 ||| Columna: 14
Token: 32 ||| Lexema: [ ||| Linea: 5 ||| Columna: 19
Token: 56 ||| Lexema: 3 ||| Linea: 5 ||| Columna: 20
